Date,Price,Open,High,Low,Vol.,Change %
9/4/2013,"1,653.10","1,640.70","1,655.70","1,637.40",,0.81%
9/3/2013,"1,639.80","1,636.00","1,651.30","1,633.40",,0.42%
8/30/2013,"1,633.00","1,638.90","1,640.10","1,628.00",,-0.32%
8/29/2013,"1,638.20","1,633.50","1,646.40","1,630.90",,0.20%
8/28/2013,"1,635.00","1,630.20","1,641.20","1,627.50",,0.28%
8/27/2013,"1,630.50","1,652.50","1,652.50","1,629.00",,-1.59%
8/26/2013,"1,656.80","1,664.30","1,669.50","1,656.00",,-0.40%
8/23/2013,"1,663.50","1,659.90","1,664.80","1,654.80",,0.39%
8/22/2013,"1,657.00","1,645.00","1,659.50","1,645.00",,0.86%
8/21/2013,"1,642.80","1,650.70","1,657.00","1,639.40",,-0.57%
8/20/2013,"1,652.30","1,646.80","1,658.90","1,646.10",,0.38%
8/19/2013,"1,646.10","1,655.20","1,659.20","1,645.80",,-0.59%
8/16/2013,"1,655.80","1,661.20","1,663.60","1,652.60",,-0.33%
8/15/2013,"1,661.30","1,679.60","1,679.60","1,658.60",,-1.43%
8/14/2013,"1,685.40","1,693.90","1,695.50","1,684.80",,-0.52%
8/13/2013,"1,694.20","1,690.70","1,696.80","1,682.60",,0.28%
8/12/2013,"1,689.50","1,688.40","1,691.50","1,683.30",,-0.11%
8/9/2013,"1,691.40","1,696.10","1,699.40","1,686.00",,-0.36%
8/8/2013,"1,697.50","1,693.30","1,700.20","1,688.40",,0.39%
8/7/2013,"1,690.90","1,695.30","1,695.30","1,684.90",,-0.38%
8/6/2013,"1,697.40","1,705.80","1,705.80","1,693.30",,-0.57%
8/5/2013,"1,707.10","1,708.00","1,709.20","1,703.50",,-0.15%
8/2/2013,"1,709.70","1,706.10","1,709.70","1,700.70",,0.16%
8/1/2013,"1,706.90","1,689.40","1,707.80","1,689.40",,1.26%
7/31/2013,"1,685.70","1,687.80","1,698.40","1,684.90",,-0.02%
