Date,Price,Open,High,Low,Vol.,Change %,Swing (Day),Swing Ratio (Day),3 M High,3 M Low,Swing Ratio (M),Log Swing Ratio (M),YR HIGH,YR Low,Swing Ratio (YR),Swing Ratio (YR) log,LN(Price,,,,,,,,,,,,
8/28/2022,"19,550.20","20,034.20","20,150.80","19,542.90",159.60K,-2.41%,607.9,0.03071412,32377.5,17630.5,0.643196689,-0.1916562,68990.6,17630.5,1.280863087,0.10750271,9.880740796,4424,8.394799543,4.291151205,,,,,,,,,
8/29/2022,"20,295.80","19,551.30","20,394.50","19,551.20",248.04K,3.81%,843.3,0.042326794,31969.9,17630.5,0.628923351,-0.20140228,68990.6,17630.5,1.283360538,0.108348681,9.918169247,4425,8.395025557,4.307406175,,,,,,,,,
8/30/2022,"19,792.60","20,295.60","20,558.20","19,559.70",308.41K,-2.48%,998.5,0.049815158,31753.4,17630.5,0.622462949,-0.205886494,68990.6,17630.5,1.285754728,0.10915813,9.893063409,4426,8.395251521,4.296502848,,,,,,,,,
8/31/2022,"20,043.90","19,793.40","20,469.10","19,793.40",318.17K,1.27%,675.7,0.033922982,31753.4,17630.5,0.625653003,-0.203666466,68990.6,17630.5,1.288147813,0.1099657,9.905680147,4427,8.395477433,4.301982227,,,,,,,,,
9/1/2022,"20,126.10","20,049.90","20,202.70","19,584.40",275.08K,0.41%,618.3,0.03077957,31753.4,17630.5,0.628615665,-0.201614801,68990.6,17630.5,1.290692593,0.110822818,9.909772759,4428,8.395703294,4.303759626,,,,,,,,,
9/2/2022,"19,952.70","20,131.60","20,428.20","19,764.70",272.22K,-0.86%,663.5,0.033105231,31753.4,17630.5,0.631712242,-0.199480707,68990.6,17630.5,1.293303505,0.111700454,9.901119752,4429,8.395929104,4.300001673,,,,,,,,,
9/3/2022,"19,831.40","19,952.80","20,043.80","19,660.70",157.85K,-0.61%,383.1,0.019258902,31753.4,17630.5,0.634893384,-0.197299198,68990.6,17630.5,1.296000795,0.112605268,9.895021819,4430,8.396154863,4.297353374,,,,,,,,,
9/4/2022,"19,999.90","19,832.20","20,017.80","19,594.70",158.27K,0.85%,423.1,0.021244172,31556.6,17630.5,0.629621348,-0.200920555,68990.6,17630.5,1.298686949,0.113504476,9.903482553,4431,8.396380571,4.301027824,,,,,,,,,
9/5/2022,"19,793.10","19,999.90","20,042.90","19,650.70",238.71K,-1.03%,392.2,0.01971201,31312.1,17630.5,0.622109716,-0.206133016,68990.6,17630.5,1.301570122,0.114467571,9.893088671,4432,8.396606228,4.296513819,,,,,,,,,
9/6/2022,"18,786.40","19,793.40","20,169.30","18,723.30",402.43K,-5.09%,1446,0.074961508,30691.4,17630.5,0.597331129,-0.223784852,68990.6,17630.5,1.304639538,0.115490536,9.840888483,4433,8.396831835,4.273843565,,,,,,,,,
