base_btc_allocation,buy_tiers,sell_tiers,median_value,mean_value,std_value,cagr,max_value,min_value,percentile_25,percentile_75,median_improvement,mean_improvement,cagr_improvement,sharpe_ratio,win_rate,beat_baseline_rate
20,"[(20, 40), (40, 60)]","[(20, 25), (40, 35), (60, 45)]",57361.564481180976,60816.882950637315,18583.708705700217,-0.8953693108339489,169135.58503657594,22279.61221290401,48627.299232359335,69744.87975330245,4.828406314727368,1.7869691109354042,0.9302544066698837,0.05745351856537424,58.599999999999994,58.599999999999994
60,"[(5, 15), (15, 25), (25, 35)]","[(15, 10), (30, 20), (45, 30)]",57344.85724621359,63756.50104554942,28730.85323231986,-0.9011430630123218,195485.55563906155,22381.150746554096,43303.81034408833,78033.36122486484,4.797873799943343,6.706899263679768,0.9244806544915107,0.13947784688624054,54.400000000000006,54.400000000000006
40,"[(20, 40), (40, 60)]","[(15, 10), (30, 20), (45, 30)]",57337.85014918515,63196.562008866014,25667.679466868678,-0.9035650038163978,211002.01562290566,20337.855250760258,45148.01762238974,74360.9373158669,4.785068312139304,5.769749994172469,0.9220587136874348,0.13430814872902555,55.60000000000001,55.60000000000001
40,"[(10, 20), (20, 30), (30, 40)]","[(20, 25), (40, 35), (60, 45)]",57319.918795518184,61713.42817585972,21152.22594513911,-0.9097638952689557,158296.45989229548,20789.467442273723,46949.442874171466,72387.0498529541,4.7522987172899445,3.287483716728981,0.9158598222348768,0.0928623154581163,56.39999999999999,56.39999999999999
40,"[(5, 15), (15, 25), (25, 35)]","[(25, 30), (50, 50)]",57294.40951363978,61448.04992676555,20385.630008442055,-0.9185851598681904,218443.59125880778,26677.351573099502,48362.921436849974,70227.16779449259,4.7056804391845155,2.843329949999643,0.9070385576356421,0.08333646929533967,56.99999999999999,56.99999999999999
50,"[(15, 25), (25, 35), (35, 45)]","[(20, 25), (40, 35), (60, 45)]",57251.21155722154,62338.6057581502,24254.055178041486,-0.9335304436495551,188806.05560034362,22624.501937876063,46851.574663529806,72822.43002949003,4.62673606295742,4.3338203287039905,0.8920932738542775,0.10676244618234755,56.2,56.2
30,"[(20, 40), (40, 60)]","[(15, 10), (30, 20), (45, 30)]",57234.83046741657,62222.378496754536,23650.476599328907,-0.9392002013876688,250643.32520010858,28111.369516182756,47268.67327393581,71189.84404426442,4.596799579294795,4.139295057240611,0.8864235161161638,0.1045727340363134,56.8,56.8
30,"[(15, 25), (25, 35), (35, 45)]","[(15, 10), (30, 20), (45, 30)]",57219.41445863353,60564.24905955666,19078.011606821026,-0.9445371149557125,176830.187617473,25336.182886273786,47628.0401729914,69061.4577827355,4.568626783676747,1.3641451051626414,0.8810866025481201,0.0427227731512853,56.00000000000001,56.00000000000001
40,"[(10, 20), (20, 30), (30, 40)]","[(20, 15), (40, 25), (60, 35)]",57188.336195393975,60618.30406849755,21912.867893725317,-0.9552996885222709,266283.6118401725,25268.76093470466,46790.47554584486,69110.21630974757,4.511831177840349,1.4546149756724989,0.8703240289815617,0.03966256608727874,56.2,56.2
70,"[(5, 15), (15, 25), (25, 35)]","[(20, 25), (40, 35), (60, 45)]",57133.11623240148,64231.37443469004,30844.37541329903,-0.9744342137546713,243154.55733950553,19267.308777455903,43965.437046177845,74060.10313342106,4.410916553742874,7.501677303049102,0.8511895037491612,0.14531631382156682,54.6,54.6
30,"[(10, 30), (20, 40), (30, 50)]","[(20, 25), (40, 35), (60, 45)]",57124.68670338511,60282.79744699817,18106.067192941577,-0.9773564704182447,150186.3594218862,29305.881710920068,47556.96980445989,69791.11570030029,4.395511567830052,0.8930899440987841,0.8482672470855879,0.02947155468998442,57.199999999999996,57.199999999999996
