reserve_pct,buy_threshold,sell_threshold,median_value,mean_value,std_value,median_improvement,mean_improvement,sharpe_ratio,win_rate
30,5,60,56643.38819286857,60405.74493992045,29627.70141144393,10.018772409265317,-2.7762844430745073,-0.05821997714060594,56.00000000000001
10,30,100,56580.30377872499,66023.83027190118,40778.769739274816,9.896243195818508,6.266086126716361,0.09547029638140832,57.199999999999996
20,30,100,56550.82217411786,62317.084645014584,30285.41050616757,9.838980908885949,0.30003798297212253,0.006155294020307488,58.4
0,20,40,56549.69703771503,64021.07361296799,36824.875000240565,9.8367955501039,3.0426271008981556,0.0513349895724624,56.99999999999999
40,10,60,56487.14986127444,61389.49554709402,28911.881345424095,9.715309816478143,-1.1929269444471284,-0.025635602293542906,58.199999999999996
0,15,20,56454.696478574064,60140.516713828736,28859.04555359363,9.652275428191444,-3.2031722107339546,-0.06896112767481515,57.199999999999996
10,20,60,56431.83208628604,65311.002448187,37561.842750815274,9.607865790073634,5.118781848906697,0.08466925945198887,56.2
0,25,40,56368.567382755675,63364.15372773201,37159.47456026651,9.484986399533865,1.9853072693259306,0.03319435227503254,56.39999999999999
40,5,100,56317.2618288597,61304.42464958341,30607.836172635376,9.38533533278989,-1.3298494962668297,-0.026994537757579207,57.8
30,5,100,56238.6139553699,62185.530389643434,33707.195639751575,9.232577124462301,0.08829995180921103,0.0016275857358872766,56.99999999999999
20,15,80,56153.55045139374,62705.457414634584,32266.044913881542,9.067357800850825,0.9251282574343515,0.017814032595110066,56.599999999999994
20,5,100,56003.57587104032,62933.80815618199,34115.64295077598,8.77606132743196,1.2926613052512352,0.023541667337690083,55.800000000000004
30,30,80,55983.59268348166,61337.55805060597,30096.332653741978,8.737247869512704,-1.2765209203233485,-0.02635241301131858,55.800000000000004
0,10,20,55905.44417304719,62374.26781790778,34708.47392964092,8.58545957686436,0.39207493312545494,0.007018423788328306,56.99999999999999
30,20,100,55806.232265563085,62528.58892478724,31998.973992674903,8.39275972930904,0.6404564639649706,0.012435395149073146,55.400000000000006
20,5,60,55798.42221992242,60825.44065408845,33085.58378929216,8.37759023360513,-2.1007795424178783,-0.039450063600128635,55.800000000000004
10,5,20,55688.37353507924,61814.42197921399,33919.34219772175,8.163842052255614,-0.5090031453094581,-0.009323502141225548,55.2
10,15,60,55672.707340093395,63270.42138532007,34296.23850107498,8.133413513362454,1.8344440260002097,0.03323257582492417,56.99999999999999
0,30,100,55634.22860298518,62361.77021226129,31321.04059821439,8.05867604522072,0.3719598984093824,0.007378464093911753,56.8
10,15,100,55561.64945870891,64616.63915877226,41819.55448526083,7.917705163877933,4.001196443571929,0.05944516029755938,56.00000000000001
20,30,80,55535.613987511446,60883.40324991035,28929.609237613782,7.867136321306427,-2.007488102427625,-0.04311381390148162,57.4
20,15,100,55502.45428195059,61427.786271016645,32781.323337885755,7.802730038143485,-1.1312976001715995,-0.021441561725924544,55.400000000000006
30,5,40,55414.843772316744,61419.175873825836,37745.25209168755,7.632563651075575,-1.1451561298221145,-0.018849871853267225,56.2
30,10,80,55393.71749313807,61568.07752861218,31262.712175361583,7.591529959854654,-0.9054972671543083,-0.0179956079004117,55.400000000000006
0,5,60,55382.23179405778,61114.563907819735,31498.144425889925,7.569221221740798,-1.6354324631024777,-0.03225920604289597,55.400000000000006
20,10,60,55289.52541758029,60809.55117066894,34079.19959715348,7.389157103756973,-2.1263538419793075,-0.03876610612253987,54.400000000000006
0,10,40,55173.88304211042,60566.47644526216,29807.262808765616,7.164544265549526,-2.5175853049060843,-0.052476894762079944,54.400000000000006
20,20,80,55041.92662920909,62077.30857694979,30470.833945423798,6.908244580412358,-0.08588425442558426,-0.001751197947821006,57.8
40,5,60,55016.69377512256,62308.19286867798,36278.37810732425,6.859234665582946,0.28572657046979105,0.004893378345894854,55.60000000000001
0,25,60,55014.41250184946,62126.69958549354,33164.29455710459,6.854803735636058,-0.0063888791015510715,-0.00011969057032225935,55.400000000000006
10,20,100,54988.13393878815,62946.514632513754,32595.643305745343,6.803762734366144,1.313112519648784,0.025029283393420226,54.6
20,20,60,54897.37782784979,59503.665066257396,28153.01460588565,6.627486628140305,-4.228191991501796,-0.09331164031069047,53.6
30,15,80,54890.41498401128,60558.35818447901,33126.871699392505,6.613962657275743,-2.5306517355573908,-0.04746330618273373,56.2
0,20,20,54754.35148289698,59632.16194896093,30637.93986516159,6.349685751534661,-4.021374835511989,-0.08154944819588006,53.800000000000004
0,20,80,54710.71472285317,61670.70372226779,37257.27769243053,6.264929826348991,-0.7403192717403472,-0.012345650166734348,54.800000000000004
