Date,Price,Open,High,Low,Change %
2016-08-18,2936.84,2929.99,2936.84,2928.11,0.22%
2016-08-19,2932.4,2932.8,2933.87,2920.58,-0.14%
2016-08-22,2929.82,2928.48,2933.31,2920.96,-0.06%
2016-08-23,2935.32,2936.53,2944.04,2935.18,0.20%
2016-08-24,2919.61,2932.63,2934.77,2913.97,-0.53%
2016-08-25,2915.44,2916.52,2924.16,2911.68,-0.13%
2016-08-26,2910.47,2918.66,2935.83,2898.93,-0.16%
2016-08-29,2924.94,2911.26,2929.1,2911.26,0.53%
2016-08-30,2918.9,2923.32,2927.21,2911.25,-0.20%
2016-08-31,2911.65,2915.27,2915.54,2898.77,-0.24%
2016-09-01,2911.37,2911.91,2915.0,2892.87,0.00%
2016-09-02,2923.3,2919.95,2929.87,2914.72,0.42%
2016-09-06,2930.91,2924.35,2931.05,2915.63,0.30%
2016-09-07,2930.24,2928.9,2932.52,2920.72,-0.01%
2016-09-08,2923.39,2925.4,2928.22,2918.3,-0.22%
2016-09-09,2851.42,2906.77,2906.77,2851.42,-2.45%
2016-09-12,2892.42,2841.37,2898.18,2838.96,1.47%
2016-09-13,2849.28,2880.76,2880.76,2840.3,-1.48%
2016-09-14,2847.4,2850.22,2868.16,2839.5,-0.06%
2016-09-15,2875.93,2846.6,2881.29,2842.58,1.01%
2016-09-16,2864.81,2874.59,2874.59,2854.1,-0.38%
2016-09-19,2863.87,2870.43,2883.28,2859.58,0.00%
2016-09-20,2864.54,2872.7,2879.26,2863.73,0.03%
2016-09-21,2895.45,2870.69,2898.13,2864.0,1.09%
2016-09-22,2914.05,2905.62,2917.8,2905.62,0.65%
2016-09-23,2897.05,2908.56,2909.23,2896.11,-0.57%
2016-09-26,2871.35,2887.94,2887.94,2869.87,-0.86%
2016-09-27,2889.54,2870.94,2891.14,2865.06,0.64%
2016-09-28,2904.65,2891.81,2905.99,2878.43,0.53%
2016-09-29,2877.22,2901.03,2906.11,2869.33,-0.93%
2016-09-30,2899.96,2884.17,2909.32,2884.17,0.80%
2016-10-03,2889.64,2893.79,2893.92,2881.09,-0.33%
